TIMEFRAME,CANDLE_NUMBER,SYMBOL,HIGH_PRICE,CLOSE_PRICE,OPEN_PRICE,LOW_PRICE,CLOSE_TIME,TIMESTAMP,OPEN_TIME
1m,1,XRPUSDT,3.1302,3.13,3.1257,3.1256,2025-08-17 09:57:59:999,2025-08-17 09:59:07:203,2025-08-17 09:57:00:000
1m,2,XRPUSDT,3.13,3.1293,3.13,3.1283,2025-08-17 09:58:59:999,2025-08-17 09:59:06:871,2025-08-17 09:58:00:000
